"00072250018548","Nature's Own","Nature's Own Butter Buns Hotdog - 8 Ct",10.79

"00028000517205", "Nestle"             , 
"Nestle Media Crema Table Cream"       , 
17.97

"00034000020706"    , 
"York", 
"York Peppermint Patties Dark Chocolate Covered Snack Size", 
12.64 "00038000570742", 
"Kellogg's", "Kellogg's Cereal Krave Chocolate",
  18.66

"00014100072331" , "Pepperidge Farm", "Pepperidge Farm 
          Classic Cookie Favorites", 14.43


"00035200264013", "Riceland", "Riceland American Jazmine Rice", 16.18
"00011111065925", "Caress", "Caress Velvet Bliss Ultra Silkening Beauty Bar - 6 Ct", 18.84
"00023923330139", "Earth's Best", "Earth's Best Organic Fruit Yogurt Smoothie Mixed Berry", 8.89
"00208528800007", "Boar's Head", "Boar's Head Sliced White American Cheese - 120 Ct", 21.41
"00759283100036", "Back To Nature", "Back To Nature Gluten Free White Cheddar Rice Thin Crackers", 17.06
"00074170388732", "Sally Hansen", "Sally Hansen Nail Color Magnetic 903 Silver Elements", 24.20
"00070177154004", "Twinings Of London", "Twinings Of London Classics Lady Grey Tea - 20 Ct", 7.77
"00051600080015", "Lea & Perrins", "Lea & Perrins Marinade In-a-bag Cracked Peppercorn", 4.44
"00019600923015", "Van De Kamp's", "Van De Kamp's Fillets Beer Battered - 10 Ct", 16.19
"00688267141676", "Ahold", "Ahold Cocoa Almonds", 3.33
"00657622604842", "Honest Tea", "Honest Tea Peach White Tea", 6.12
"00074676640211", "Mueller", "Mueller Sport Care Basic Support Level Medium Elastic Knee Support", 15.12
"00603084234561", "Garnier Nutritioniste", "Garnier Nutritioniste Moisture Rescue Fresh Cleansing Foam", 16.21
"00041167300121", "Pamprin", "Pamprin Maximum Strength Multi-symptom Menstrual Pain Relief", 21.92
"00079400847201", "Suave", "Suave Naturals Moisturizing Body Wash Creamy Tropical Coconut", 17.27
"00792850014008", "Burt's Bees", "Burt's Bees Daily Moisturizing Cream Sensitive", 22.50
"00088313590791", "Ducal", "Ducal Refried Red Beans", 18.91
"00021200725340", "Scotch", "Scotch Removable Clear Mounting Squares - 35 Ct", 24.59
"00041520035646", "Careone", "Careone Family Comb Set - 8 Ct", 19.57
"00204040000000", "Usda Produce", "Plums Black", 12.42
